"Round Number","Group","Date","Home Team","Home Result","Away Result","Away Team","Kwiatek Home","","Kwiatek Points","Filip Result","","Filip Points","Komar Result","","Komar Points","Artur Result","","Artur Points","Mati Result","","Mati Points","Plech Result","","Plech Points","Lesiu Result","","Lesiu Points","Komar jr Result","","Komar jr Points"
"1","A","13/01/2024 21:00","Côte d'Ivoire","2","0","Guinea-Bissau","2","0","3","2","0","3","3","1","1","1","0","1","2","0","3","3","1","1","1","0","1","2","0","3"
"1","A","14/01/2024 15:00","Nigeria","1","1","Equatorial Guinea","3","0","0","1","0","0","2","0","0","1","0","0","2","0","0","2","0","0","2","1","0","1","0","0"
"1","B","14/01/2024 18:00","Egypt","2","2","Mozambique","2","0","0","2","0","0","2","0","0","3","0","0","2","0","0","0","0","1","3","0","0","2","0","0"
"1","B","14/01/2024 21:00","Ghana","1","2","Cabo Verde","2","0","0","1","0","0","1","0","0","0","0","0","2","0","0","2","0","0","1","0","0","1","1","0"
"1","C","15/01/2024 15:00","Senegal","3","0","Gambia","3","1","1","2","0","1","1","0","1","5","0","1","2","0","1","4","0","1","2","1","1","3","0","3"
"1","C","15/01/2024 18:00","Cameroon","1","1","Guinea","2","1","0","1","0","0","1","1","3","2","1","0","2","0","0","2","1","0","1","1","3","0","0","1"
"1","D","15/01/2024 21:00","Algeria","1","1","Angola","3","0","0","1","0","0","2","1","0","3","0","0","2","0","0","2","1","0","1","0","0","1","0","0"
"1","D","16/01/2024 15:00","Burkina Faso","1","0","Mauritania","1","0","3","1","0","3","1","0","3","1","0","3","2","0","1","1","0","3","0","0","0","1","1","0"
"1","E","16/01/2024 18:00","Tunisia","0","0","Namibia","3","0","0","1","0","0","2","1","0","3","0","0","2","0","0","2","1","0","2","0","0","1","0","0"
"1","E","16/01/2024 21:00","Mali","0","0","South Africa","2","1","0","1","1","0","1","1","0","1","1","0","0","2","0","3","0","0","0","0","0","2","2","0"
"1","F","17/01/2024 18:00","Morocco","0","0","Tanzania","2","0","0","2","0","0","2","0","0","4","0","0","2","0","0","4","0","0","3","0","0","3","0","0"
"1","F","17/01/2024 21:00","Congo DR","0","0","Zambia","2","1","0","1","1","0","1","0","0","1","1","0","2","0","0","2","0","0","0","1","0","0","0","0"
"2","A","18/01/2024 15:00","Equatorial Guinea","0","0","Guinea-Bissau","1","0","0","1","1","0","0","1","0","0","0","0","0","2","0","1","1","0","0","1","0","0","2","0"
"2","A","18/01/2024 18:00","Côte d'Ivoire","0","0","Nigeria","2","1","0","2","0","0","2","1","0","2","2","0","2","0","0","2","3","0","2","1","0","2","1","0"
"2","B","18/01/2024 21:00","Egypt","0","0","Ghana","1","2","0","1","0","0","2","0","0","2","1","0","2","0","0","2","1","0","1","0","0","1","0","0"
"2","B","19/01/2024 15:00","Cabo Verde","0","0","Mozambique","0","0","0","1","1","0","1","1","0","2","0","0","2","0","0","0","1","0","0","0","0","1","1","0"
"2","C","19/01/2024 18:00","Senegal","0","0","Cameroon","2","1","0","2","1","0","1","0","0","3","1","0","2","0","0","2","1","0","2","2","0","2","0","0"
"2","C","19/01/2024 21:00","Guinea","0","0","Gambia","1","0","0","0","0","0","2","1","0","1","0","0","2","0","0","2","2","0","1","1","0","0","1","0"
"2","D","20/01/2024 15:00","Algeria","0","0","Burkina Faso","2","0","0","2","0","0","2","1","0","0","0","0","2","0","0","2","1","0","2","1","0","2","0","0"
"2","D","20/01/2024 18:00","Mauritania","0","0","Angola","0","1","0","0","1","0","0","0","0","1","1","0","2","0","0","1","0","0","0","1","0","1","1","0"
"2","E","20/01/2024 21:00","Tunisia","0","0","Mali","1","0","0","1","0","0","1","0","0","2","1","0","2","0","0","1","1","0","1","0","0","0","0","0"
"2","F","21/01/2024 15:00","Morocco","0","0","Congo DR","1","0","0","2","0","0","2","0","0","1","0","0","0","2","0","2","1","0","2","0","0","2","0","0"
"2","F","21/01/2024 18:00","Zambia","0","0","Tanzania","2","0","0","1","0","0","2","1","0","2","0","0","2","0","0","2","1","0","1","1","0","2","1","0"
"2","E","21/01/2024 21:00","South Africa","0","0","Namibia","1","0","0","1","0","0","1","1","0","2","0","0","2","0","0","1","1","0","1","0","0","1","1","0"
"3","A","22/01/2024 18:00","Equatorial Guinea","0","0","Côte d'Ivoire","0","2","0","0","2","0","0","1","0","0","1","0","0","2","0","0","4","0","1","3","0","1","1","0"
"3","A","22/01/2024 18:00","Guinea-Bissau","0","0","Nigeria","0","2","0","1","0","0","0","1","0","0","3","0","0","2","0","1","2","0","0","2","0","0","1","0"
"3","B","22/01/2024 21:00","Mozambique","0","0","Ghana","0","3","0","0","1","0","1","0","0","0","2","0","0","2","0","1","2","0","0","1","0","0","0","0"
"3","B","22/01/2024 21:00","Cabo Verde","0","0","Egypt","0","2","0","0","1","0","0","2","0","0","3","0","0","2","0","0","2","0","1","2","0","0","3","0"
"3","C","23/01/2024 18:00","Guinea","0","0","Senegal","0","3","0","0","2","0","1","2","0","0","4","0","0","2","0","1","3","0","2","2","0","0","1","0"
"3","C","23/01/2024 18:00","Gambia","0","0","Cameroon","0","3","0","0","1","0","0","2","0","0","5","0","0","2","0","0","0","0","2","3","0","0","1","0"
"3","D","23/01/2024 21:00","Angola","0","0","Burkina Faso","0","1","0","2","0","0","1","1","0","0","2","0","2","0","0","0","2","0","0","3","0","1","1","0"
"3","D","23/01/2024 21:00","Mauritania","0","0","Algeria","0","3","0","0","1","0","1","3","0","0","5","0","0","2","0","0","2","0","0","2","0","1","2","0"
"3","E","24/01/2024 18:00","South Africa","0","0","Tunisia","0","2","0","1","2","0","0","1","0","1","0","0","2","0","0","0","2","0","2","2","0","1","3","0"
"3","E","24/01/2024 18:00","Namibia","0","0","Mali","0","2","0","1","1","0","1","2","0","0","3","0","0","2","0","1","3","0","1","0","0","0","1","0"
"3","F","24/01/2024 21:00","Tanzania","0","0","Congo DR","0","1","0","0","1","0","0","1","0","0","1","0","0","2","0","0","2","0","0","1","0","0","1","0"
"3","F","24/01/2024 21:00","Zambia","0","0","Morocco","1","2","0","0","1","0","1","2","0","1","3","0","0","2","0","0","3","0","1","3","0","0","3","0"
"","","","1/16","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","27/01/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","27/01/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","28/01/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","28/01/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","29/01/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","29/01/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","30/01/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","30/01/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Ćwierćfinał","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","02/02/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","02/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","03/02/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","03/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Półfinał","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","07/02/2024 18:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","07/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Finał","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","11/02/2024 21:00","-","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","TOTAL","","","7","","","7","","","8","","","5","","","5","","","6","","","5","","","7"